station_name,street_address,city,state,zip,ev_level1_evse_num,ev_level2_evse_num,ev_dc_fast_count,ev_network,ev_connector_types,access_code,access_detail_code,facility_type
LADWP - Truesdale Center,11797 Truesdale St,Sun Valley,CA,91352,,57,2,SHELL_RECHARGE,CHADEMO J1772 J1772COMBO,private,Unknown,UTILITY
Los Angeles Convention Center,1201 S Figueroa St,Los Angeles,CA,90015,,7,,Non-Networked,J1772,public,Unknown,PARKING_GARAGE
LADWP - John Ferraro Building,111 N Hope St,Los Angeles,CA,90012,,338,12,Non-Networked,CHADEMO J1772 J1772COMBO,private,Unknown,UTILITY
LADWP - Haynes Power Plant,6801 E 2nd St,Long Beach,CA,90803,,19,1,Non-Networked,CHADEMO J1772 J1772COMBO,private,Unknown,UTILITY
LADWP - Harbor Generating Station,161 N Island Ave,Wilmington,CA,90744,,10,,Non-Networked,J1772,private,Unknown,UTILITY
LADWP - Sylmar West,13201 Sepulveda Blvd,Sylmar,CA,91342,,2,,Non-Networked,J1772,private,GOVERNMENT,UTILITY
LADWP - EV Service Center,1630 N Main St,Los Angeles,CA,90012,,46,1,Non-Networked,CHADEMO J1772,private,Unknown,UTILITY
LADWP - Fairfax Center,2311 S Fairfax Ave,Los Angeles,CA,90016,,13,,Non-Networked,J1772,private,Unknown,UTILITY
California Air Resources Board,9530 Telstar Ave,El Monte,CA,91731,,3,,Non-Networked,J1772,public,Unknown,STATE_GOV
LADWP - Palmetto Center,1212 Palmetto St,Los Angeles,CA,90013,,27,,Non-Networked,J1772,private,Unknown,UTILITY
Scripps Green Hospital,10666 N Torrey Pines Rd,La Jolla,CA,92037,,1,,Non-Networked,J1772,public,Unknown,HOSPITAL
Galpin Motors,15421 Roscoe Blvd,Sepulveda,CA,91343,,2,,Non-Networked,J1772,public,CALL,CAR_DEALER
Galleria at Tyler,1299 Galleria at Tyler,Riverside,CA,92503,,4,,Non-Networked,J1772,public,Unknown,SHOPPING_MALL
City of Pasadena - Holly Street Garage,150 E Holly St,Pasadena,CA,91103,,16,,Non-Networked,J1772,public,Unknown,PARKING_GARAGE
City of Pasadena - De Lacey Garage,45 De Lacey Ave,Pasadena,CA,91105,,2,,Non-Networked,J1772,public,Unknown,PARKING_GARAGE
City of Pasadena - Schoolhouse Garage,33 E Green St,Pasadena,CA,91105,,3,,Non-Networked,J1772,public,Unknown,PARKING_GARAGE
Bristol Farms,606 Fair Oaks Ave,South Pasadena,CA,91030,,,,Non-Networked,,public,Unknown,GROCERY
Hyatt Regency Long Beach,200 S Pine Ave,Long Beach,CA,90802,,1,,Non-Networked,J1772,public,Unknown,HOTEL
Los Angeles International Airport (LAX) - Lot 6,1 World Way,Los Angeles,CA,90045,,20,,Non-Networked,J1772,public,Unknown,AIRPORT
Northridge Fashion Center East Garage Lower Level,9301 Tampa Ave,Northridge,CA,91324,,5,,Volta,J1772,public,Unknown,
Ontario Airport Hotel and Conference Center,700 N Haven Ave,Ontario,CA,91764,,1,,Non-Networked,J1772,public,Unknown,HOTEL
Courtyard Marriott - Oxnard Ventura,600 E Esplanade Dr,Oxnard,CA,93030,,1,,Non-Networked,J1772,public,Unknown,HOTEL
Hilton - Palm Springs,400 E Tahquitz Canyon Way,Palm Springs,CA,92262,,2,,Non-Networked,J1772,public,Unknown,HOTEL
Inland Empire Foods,5425 Wilson St,Riverside,CA,92509,,3,,Non-Networked,J1772,public,Unknown,OFFICE_BLDG
Sacramento International Airport - Daily A Lot,Lindbergh Dr,Sacramento,CA,95837,,4,,Non-Networked,J1772,public,Unknown,AIRPORT
City of Santa Monica - Airport,3223 Donald Douglas Loop,Santa Monica,CA,90405,,2,,Non-Networked,J1772,public,Unknown,AIRPORT
City of Santa Monica - Pier,200 Santa Monica Pier,Santa Monica,CA,90405,,3,,Non-Networked,J1772,public,Unknown,MUNI_GOV
Westfield Parking Garage 1st Floor,14006 Riverside Dr,Sherman Oaks,CA,91423,,2,,Volta,J1772,public,Unknown,
Universal City Hilton,333 Universal Terrace Pkwy,Universal City,CA,91608,1,,,Non-Networked,NEMA520,public,CALL,HOTEL
Office Max - Home Depot,7075 Firestone Blvd,Downey,CA,90241,,4,,Non-Networked,J1772,public,Unknown,SHOPPING_CENTER
Hyatt at Fisherman's Wharf,555 N Point St,San Francisco,CA,94133,,1,,Non-Networked,J1772,public,Unknown,HOTEL
Arden Fair Mall,1689 Arden Way,Sacramento,CA,95815,,4,,Non-Networked,J1772,public,Unknown,SHOPPING_MALL
Japan Center Garage,1610 Geary Blvd,San Francisco,CA,94115,,,,Non-Networked,,public,CREDIT_CARD_ALWAYS,PARKING_GARAGE
Palace Hotel,2 New Montgomery St,San Francisco,CA,94105,,2,,Non-Networked,J1772,public,Unknown,HOTEL
Mark Hopkins InterContinental Hotel,999 California St,San Francisco,CA,94108,,1,,Non-Networked,J1772,public,Unknown,HOTEL
California State University - Northridge,18111 Nordhoff St,Northridge,CA,91330,,2,,Non-Networked,J1772,public,Unknown,COLLEGE_CAMPUS
California State University - Northridge,18111 Nordhoff St,Northridge,CA,91330,,2,,Non-Networked,J1772,public,Unknown,COLLEGE_CAMPUS
California State University - Northridge,18111 Nordhoff St,Northridge,CA,91330,,4,,Non-Networked,J1772,public,Unknown,COLLEGE_CAMPUS
Los Angeles Harbor Department Headquarters,425 S Palos Verdes St,San Pedro,CA,90731,,4,,Non-Networked,J1772,public,Unknown,PARKING_LOT
Sylmar Station,Village Way Dr,San Fernando,CA,91342,,4,,EV Connect,J1772,public,Unknown,
Getty Center,1200 Getty Center Dr,Los Angeles,CA,90049,12,15,,Non-Networked,J1772 NEMA520,public,Unknown,PARKING_GARAGE
LA County DPR Arboretum,301 N Baldwin Ave,Arcadia,CA,91007,,3,,POWERFLEX,J1772,public,Unknown,PARK
City of Glendora - City Hall,114 S Vista Bonita Ave,Glendora,CA,91741,,3,,Non-Networked,J1772,public,Unknown,MUNI_GOV
DoubleTree Hotel - Los Angeles - Westside,6161 Centinela Ave,Culver City,CA,90230,,2,,Non-Networked,J1772,public,Unknown,HOTEL
Helms Bakery Building,8800 Venice Blvd,Los Angeles,CA,90034,,6,,Non-Networked,J1772,public,Unknown,PARKING_GARAGE
Westfield MainPlace Mall,2800 N Main St,Santa Ana,CA,92705,,6,,Non-Networked,J1772,public,Unknown,SHOPPING_MALL
California State University - Channel Islands,1 University Dr,Camarillo,CA,93012,,5,,Non-Networked,J1772,public,Unknown,COLLEGE_CAMPUS
Brea Downtown Parking,101 S Brea Blvd,Brea,CA,92821,,4,,Non-Networked,J1772,public,Unknown,PARKING_GARAGE
Home Depot,2745 Teller Rd,Newbury Park,CA,91320,4,2,,Non-Networked,J1772 NEMA515,public,Unknown,SHOPPING_CENTER
Lake Casitas Municipal Water District - Recreational Area,Casitas Pass Rd & Baldwin Rd,Oak View,CA,93022,,1,,Non-Networked,J1772,public,CALL,PARK
San Dimas Park & Ride,205 S San Dimas Ave,San Dimas,CA,91773,,2,,Non-Networked,J1772,public,Unknown,PARKING_LOT
City of Pasadena - El Molino Lot,100 N El Molino Ave,Pasadena,CA,91101,,4,,Non-Networked,J1772,public,Unknown,PARKING_LOT
Ventura County Government Center,800 S Victoria Ave,Ventura,CA,93009,,3,,Non-Networked,J1772,public,Unknown,MUNI_GOV
Ventura County Air Pollution Control District,669 County Square Dr,Ventura,CA,93003,,3,,Non-Networked,J1772,public,LIMITED_HOURS,MUNI_GOV
Pacific View Mall,3295 E Main St,Ventura,CA,93003,,2,,Non-Networked,J1772,public,Unknown,SHOPPING_MALL
LADWP - Scattergood Generating Facility,12700 Vista del Mar,Playa del Rey,CA,90293,,21,,Non-Networked,J1772,private,Unknown,UTILITY
LA County DPW Baldwin Park,14747 E Ramona Blvd,Baldwin Park,CA,91706,,3,,Non-Networked,J1772,private,GOVERNMENT,FLEET_GARAGE
LA County DPW Imperial,5525 E Imperial Hwy,South Gate,CA,90280,,6,,Non-Networked,J1772,private,GOVERNMENT,MUNI_GOV
University of California - Davis Extension - Lot 80,1441 Research Park Dr,Davis,CA,95616,1,3,,Non-Networked,J1772 NEMA520,public,Unknown,COLLEGE_CAMPUS
San Luis Obispo County Air Pollution Control District,3433 Roberto Ct,San Luis Obispo,CA,93401,1,1,,Non-Networked,J1772 NEMA520,private,Unknown,MUNI_GOV
LADWP - Wilmington District Yard,315 N Island Ave,Wilmington,CA,90744,,8,,Non-Networked,J1772,private,Unknown,UTILITY
Fair Oaks - Orangevale - Community Library,11601 Fair Oaks Blvd,Fair Oaks,CA,95628,,2,,Non-Networked,J1772,public,Unknown,PARKING_LOT
Sutter Galleria Mall - University of California - Davis Extension,2901 K St,Sacramento,CA,95816,1,2,,Non-Networked,J1772 NEMA520,public,Unknown,COLLEGE_CAMPUS
North Highlands Library,4235 Antelope Rd,Antelope,CA,95843,,1,,Non-Networked,J1772,public,Unknown,LIBRARY
Gateway Oaks Metro Center,2710 Gateway Oaks Dr,Sacramento,CA,95833,,1,,Non-Networked,J1772,private,Unknown,OFFICE_BLDG
University of California - Davis - Medical Center,4860 Y St,Sacramento,CA,95817,,2,,Non-Networked,J1772,public,Unknown,HOSPITAL
City of Sacramento - Belle Cooledge Library,5600 S Land Park Dr,Sacramento,CA,95822,,2,,Non-Networked,J1772,public,Unknown,LIBRARY
Mosquito Road Park and Ride,Mosquito Rd & Clay St,Placerville,CA,95667,,2,,Non-Networked,J1772,public,Unknown,MUNI_GOV
City of Vacaville - Cultural Center,1000 Ulatis Dr,Vacaville,CA,95687,,1,,Non-Networked,J1772,public,Unknown,MUNI_GOV
Stars Recreation Center,155 Browns Valley Pkwy,Vacaville,CA,95688,,4,,Non-Networked,J1772,public,Unknown,REC_SPORTS_FACILITY
City of Vacaville - Regional Transport Center,190 Hickory Ln,Vacaville,CA,95688,,2,,Non-Networked,J1772,public,Unknown,TRAVEL_CENTER
Office of Housing & Redevelopment,40 Eldridge Ave,Vacaville,CA,95688,,2,,Non-Networked,J1772,public,Unknown,OFFICE_BLDG
KUIC Radio - Parking Lot,500 Catherine St,Vacaville,CA,95688,,1,,Non-Networked,J1772,public,Unknown,PARKING_LOT
City of Vacaville - City Hall,650 Merchant St,Vacaville,CA,95688,,7,,Non-Networked,J1772,public,Unknown,MUNI_GOV
Citrus Heights City Hall,6360 Fountain Square Dr,Citrus Heights,CA,95621,,4,,Non-Networked,J1772,public,Unknown,MUNI_GOV
Pitt School Plaza,1440 Ary Ln,Dixon,CA,95620,1,,,Non-Networked,NEMA520,public,Unknown,SHOPPING_CENTER
El Dorado County Government Center,2850 Fairlane Ct,Placerville,CA,95667,,3,,Non-Networked,J1772,public,Unknown,MUNI_GOV
El Dorado Transit Park & Ride,4640 Post St,El Dorado Hills,CA,95762,,2,,Non-Networked,J1772,public,Unknown,MUNI_GOV
Elk Grove Kia,8480 Laguna Grove Dr,Elk Grove,CA,95758,,1,,Non-Networked,J1772,private,Unknown,CAR_DEALER
CVS Pharmacy,8455 Auburn-Folsom Rd,Granite Bay,CA,95746,,1,,Non-Networked,J1772,public,Unknown,CONVENIENCE_STORE
Carmichael Library,5605 Marconi Ave,Carmichael,CA,95608,,1,,Non-Networked,J1772,public,Unknown,LIBRARY
Burlington International Airport,1200 Airport Dr,South Burlington,VT,5403,2,,,Non-Networked,NEMA520,public,Unknown,AIRPORT
Rio Vista City Hall,1 Main St,Rio Vista,CA,94571,,1,,Non-Networked,J1772,public,Unknown,MUNI_GOV
Fairfield City Hall,1000 Webster St,Fairfield,CA,94533,,2,,Non-Networked,J1772,public,Unknown,MUNI_GOV
Solano Community College,4000 Suisun Valley Rd,Fairfield,CA,94534,,3,,Non-Networked,J1772,public,Unknown,COLLEGE_CAMPUS
Vallejo Ferry Terminal,495 Mare Island Way,Vallejo,CA,94590,,,,Non-Networked,,public,Unknown,TRAVEL_CENTER
Los Angeles International Airport (LAX) - Lot 1,1 World Way,Los Angeles,CA,90045,,20,,Non-Networked,J1772,public,Unknown,AIRPORT
City of Vacaville - Police Headquarters,660 Merchant St,Vacaville,CA,95688,,1,,Non-Networked,J1772,private,GOVERNMENT,MUNI_GOV
Southern California Edison - Sacramento Office,1201 K St,Sacramento,CA,95831,,1,,Non-Networked,J1772,private,Unknown,UTILITY
Burlington International Airport,1200 Airport Dr,South Burlington,VT,5403,,6,,Non-Networked,J1772,public,Unknown,AIRPORT
LADWP - Boylston,1141 W 2nd St,Los Angeles,CA,90026,,17,,Non-Networked,J1772,private,GOVERNMENT,UTILITY
LADWP - Central District,1350 S Wall St,Los Angeles,CA,90015,,19,,Non-Networked,J1772,private,Unknown,UTILITY
LADWP - Lincoln Heights District,3101 Artesian St,Los Angeles,CA,90031,,79,,Non-Networked,J1772,private,Unknown,UTILITY
LADWP - Receiving Station C,900 E Lomita Blvd,Wilmington,CA,90744,,2,,Non-Networked,J1772,private,GOVERNMENT,UTILITY
LADWP - Valley Center Admin Lot,14401 Saticoy St,Van Nuys,CA,91405,,95,2,Non-Networked,CHADEMO J1772 J1772COMBO,private,GOVERNMENT,UTILITY
LADWP - Valley Generating Station,11801 Sheldon St,Sun Valley,CA,91352,,17,,Non-Networked,J1772,private,Unknown,UTILITY
City of Lacey - City Hall Parking,420 College St,Lacey,WA,98503,,4,,Non-Networked,J1772,public,Unknown,MUNI_GOV
Oregon Museum of Science and Industry (OMSI) - South Parking Lot,1945 SE Water Ave,Portland,OR,97214,2,2,,Non-Networked,J1772 NEMA515,public,Unknown,MUSEUM
City of Ukiah - Public Parking Lot,N Oak St & W Standley St,Ukiah,CA,95482,,1,,Non-Networked,J1772,public,Unknown,PARKING_LOT
Nut Tree Village,1651 E Monte Vista Ave,Vacaville,CA,95688,1,1,,Non-Networked,J1772 NEMA515,public,Unknown,SHOPPING_CENTER
4th and G Plaza Public Parking Garage,817 4th St,Davis,CA,95616,,2,,Non-Networked,J1772,public,Unknown,PARKING_GARAGE
Davis Amtrak Station,840 2nd St,Davis,CA,95616,,2,,Non-Networked,J1772,public,Unknown,PAY_LOT
University of California - Davis - Quad Parking Structure,6 Howard Way,Davis,CA,95616,3,7,,Non-Networked,J1772 NEMA520,public,Unknown,COLLEGE_CAMPUS
University Covenant Church,315 Mace Blvd,Davis,CA,95618,,1,,Non-Networked,J1772,public,Unknown,PLACE_OF_WORSHIP
Wildhorse Golf Club,2323 Rockwell Dr,Davis,CA,95618,,2,,Non-Networked,J1772,public,Unknown,REC_SPORTS_FACILITY
Lakewood Center Mall,4500 Silva St,Lakewood,CA,90712,,2,,Non-Networked,J1772,public,Unknown,SHOPPING_MALL
Golden Gate Ferry Terminal,101 E Sir Francis Drake Blvd,Larkspur,CA,94939,,1,,Non-Networked,J1772,public,Unknown,PARKING_LOT
Oakland International Airport - Daily Lot,1 Airport Dr,Oakland,CA,94621,,4,,Non-Networked,J1772,public,Unknown,AIRPORT
Seattle-Tacoma International Airport - General Parking,17801 Pacific Hwy S,Seattle,WA,98188,,68,,Non-Networked,J1772,public,Unknown,AIRPORT
Discovery Center of Idaho,131 W Myrtle St,Boise,ID,83702,,2,,Non-Networked,J1772,public,Unknown,MUSEUM
City of Keizer - City Hall,930 Chemawa Rd NE,Salem,OR,97303,2,,,Non-Networked,NEMA520,public,Unknown,PARKING_LOT
Nike - LA Garage,1 Bowerman Dr,Beaverton,OR,97006,,6,,Non-Networked,J1772,private,Unknown,OFFICE_BLDG
Fairfield Transportation Center,2000 Cadenasso Dr,Fairfield,CA,94533,,2,,Non-Networked,J1772,public,Unknown,TRAVEL_CENTER
LINCOLN CITY TAFT DUAL 1,1226 SW 50th St,Lincoln City,OR,97367,,2,,ChargePoint Network,J1772,public,Unknown,
New York Institute of Technology - Old Westbury Solar Carport Station,Valentines Ln & Northern Blvd,Old Westbury,NY,11568,4,,,Non-Networked,NEMA520,private,Unknown,COLLEGE_CAMPUS
OUC RELIABLE 01,100 W Anderson Street,Orlando,FL,32801,,2,,ChargePoint Network,J1772,public,Unknown,
MGE WILLY ST E,1221 Williamson St,Madison,WI,53703,,2,,ChargePoint Network,J1772,public,Unknown,
LBCC LBCC DUAL 2,Ellingson Rd SW,Albany,OR,97321,,2,,ChargePoint Network,J1772,public,Unknown,
OEG,3200 NW Yeon Ave,Portland,OR,97210,,2,,Non-Networked,J1772,private,Unknown,UTILITY
Home Depot,1551 Froom Ranch Way,San Luis Obispo,CA,93405,,2,,Non-Networked,J1772,public,Unknown,SHOPPING_CENTER
San Luis Obispo Promenade - Bed Bath & Beyond,319 Madonna Rd,San Luis Obispo,CA,93401,,4,,Non-Networked,J1772,public,Unknown,SHOPPING_CENTER
New York State Energy Research Development Authority - Headquarters,17 Columbia Cir,Albany,NY,12203,1,7,,Non-Networked,J1772 NEMA520,private,Unknown,STATE_GOV
Saratoga Technology & Energy Park,10 Hermes Rd,Malta,NY,12020,2,,,Non-Networked,NEMA520,private,Unknown,RESEARCH_FACILITY
Avista Corp,1411 E Mission Ave,Spokane,WA,99252,1,2,,Non-Networked,J1772 NEMA520,public,Unknown,OFFICE_BLDG
Steam Plant Parking,130 S Post St,Spokane,WA,99201,,6,,Non-Networked,J1772,public,Unknown,RESTAURANT
Kum & Go #4110,2110 Guthrie Ave,Des Moines,IA,50317,,1,,Non-Networked,J1772,public,Unknown,CONVENIENCE_STORE
Kum & Go #570,5800 Northglenn Dr,Johnston,IA,50131,,1,,Non-Networked,J1772,public,Unknown,CONVENIENCE_STORE
Element Hotels - Ewing,1000 Sam Weinroth Rd,Ewing,NJ,8628,,2,,Non-Networked,J1772,public,Unknown,HOTEL
Lane Community College,4000 E 30th Ave,Eugene,OR,97405,10,10,,Non-Networked,J1772 NEMA520,public,Unknown,COLLEGE_CAMPUS
BROOKFIELD PROP 300 CLAY STAT1,300 Clay St,Houston,TX,77002,,2,,ChargePoint Network,J1772,public,Unknown,
Hudson Valley Community College - TEC-SMART Building,345 Hermes Rd,Malta,NY,12020,1,,,Non-Networked,NEMA520,public,Unknown,COLLEGE_CAMPUS
City of Spartanburg - Municipal Parking Garage,100 Dunbar St,Spartanburg,SC,29306,,2,,Non-Networked,J1772,public,Unknown,MUNI_GOV
City of Spartanburg - Municipal Parking Garage,130 E Saint John St,Spartanburg,SC,29306,,2,,Non-Networked,J1772,public,Unknown,MUNI_GOV
City of Union Town Hall,101 Sharpe Ave,Union,SC,29379,,2,,Non-Networked,J1772,public,Unknown,MUNI_GOV
Propark America - Omni Hotel Chapel Square Garage,155 Temple St,New Haven,CT,6510,,2,,Non-Networked,J1772 TESLA,public,Unknown,PARKING_GARAGE
New London Parking Authority - Water Street Public Parking Garage,161 Water St,New London,CT,6320,2,4,,Non-Networked,J1772 NEMA520,public,Unknown,PAY_GARAGE
Town of Westport - Westport Metro North,1 Railroad Pl,Westport,CT,6880,1,1,,Non-Networked,J1772 NEMA520,public,Unknown,MUNI_GOV
Park 'N Fly - Bradley International Airport,1186 South St,Suffield,CT,6078,,2,,Non-Networked,J1772,public,Unknown,AIRPORT
MGE GREENWAY STAT,1611 Aspen Commons,Middleton,WI,53562,,2,,ChargePoint Network,J1772,public,Unknown,
Baker Electric Building,7100 Euclid Ave,Cleveland,OH,44103,,1,,Non-Networked,J1772,public,Unknown,PARKING_LOT
McDonald's,116 5th Ave,Huntington,WV,25703,,2,,Non-Networked,J1772,public,Unknown,RESTAURANT
OUC OUC OCCC 03,9899 International Drive,Orlando,FL,32819,,2,,ChargePoint Network,J1772,public,Unknown,
Agilix Solutions,2023 Westport Center Dr,St. Louis,MO,63146,,1,,Non-Networked,J1772,public,Unknown,OFFICE_BLDG
HILLSBORO OR MAIN ST 1,150 E Main St,Hillsboro,OR,97123,,2,,ChargePoint Network,J1772,public,Unknown,
HILLSBORO OR ITF EV-8,253 SE 8th Ave,Hillsboro,OR,97123,,2,,ChargePoint Network,J1772,public,Unknown,
BELLEVUE BELLEVUE CH 1,450 110th Ave NE,Bellevue,WA,98004,,2,,ChargePoint Network,J1772,public,Unknown,
Oregon Museum of Science and Industry (OMSI) - North Parking Lot,1945 SE Water Ave,Portland,OR,97214,,1,,Non-Networked,J1772,public,Unknown,MUSEUM
Liberty Park,520 E,Salt Lake City,UT,84119,,4,,Non-Networked,J1772,public,Unknown,PARK
The Hartford Financial Services Group - Lot 4,1 Hartford Plaza,Hartford,CT,6105,,2,,Non-Networked,J1772,private,Unknown,OFFICE_BLDG
The Hartford Financial Services Group,1 Griffin Rd N,Windsor,CT,6095,,3,,Non-Networked,J1772,private,Unknown,OFFICE_BLDG
JCCC MTC,12345 College Blvd,Overland Park,KS,66210,,2,,ChargePoint Network,J1772,public,Unknown,
City of Delray Beach - Banker's Row Parking Lot,200 NE 1st Ave,Delray Beach,FL,33444,,3,,Non-Networked,J1772,public,Unknown,PARKING_LOT
KING COUNTY DES ISSAQUAH P&R 2,1755 Highlands Dr NE,Issaquah,WA,98027,,2,,ChargePoint Network,J1772,public,Unknown,
King County - King County Van Distribution Center,18655 NE Union Hill Rd,Redmond,WA,98052,,3,,Non-Networked,J1772,private,Unknown,MUNI_GOV
Eversource,56 Prospect St,Hartford,CT,6106,,2,,Non-Networked,J1772,private,Unknown,UTILITY
SEAPORT GARAGE EAST GARAGE2 P1,1 Seaport Ln,Boston,MA,2210,,2,,ChargePoint Network,J1772,public,Unknown,
City of Columbia - Cannon Garage,1100 Taylor St,Columbia,SC,29201,,8,,Non-Networked,J1772,public,Unknown,PAY_GARAGE
City of Columbia - Washington Street Garage,1100 Washington St,Columbia,SC,29201,,2,,Non-Networked,J1772,public,Unknown,PAY_GARAGE
City of Columbia - Arsenal Hill Garage,1812 Lincoln St,Columbia,SC,29201,,2,,Non-Networked,J1772,public,Unknown,PAY_GARAGE
City of Columbia - Lincoln Street Garage,820 Washington St,Columbia,SC,29201,,2,,Non-Networked,J1772,public,Unknown,PAY_GARAGE
Greenville Zoo,150 Cleveland Park Dr,Greenville,SC,29601,,2,,Non-Networked,J1772,public,Unknown,OTHER_ENTERTAINMENT
City of Greenville - Poinsett Garage,25 W McBee Ave,Greenville,SC,29601,,4,,Non-Networked,J1772,public,Unknown,PAY_GARAGE
City of Greenville - Spring Street Garage,316 S Spring St,Greenville,SC,29601,,2,,Non-Networked,J1772,public,Unknown,PAY_GARAGE
City of Greenville - Church Street Garage,320 N Church St,Greenville,SC,29601,,2,,Non-Networked,J1772,public,Unknown,PAY_GARAGE
City of Columbia - Park Street Garage,1007 Park St,Columbia,SC,29201,,2,,Non-Networked,J1772,public,Unknown,PAY_GARAGE
City of Greenville - Commons Garage,60 Beattie Pl,Greenville,SC,29601,,2,,Non-Networked,J1772,public,Unknown,PAY_GARAGE
City of Greenville - Liberty Square Garage,65 Beattie Pl,Greenville,SC,29601,,2,,Non-Networked,J1772,public,Unknown,PAY_GARAGE
City of Greenville - Richardson Garage,66 Richardson St,Greenville,SC,29601,,2,1,Non-Networked,CHADEMO J1772 J1772COMBO,public,Unknown,PAY_GARAGE
City of Rock Hill - Municipal Garage,121 E Black St,Rock Hill,SC,29730,,2,,Non-Networked,J1772,public,Unknown,MUNI_GOV
City of Rock Hill - Cherry Park Parking Lot,1466 Cherry Rd,Rock Hill,SC,29730,,2,,Non-Networked,J1772,public,Unknown,PARKING_LOT
Timken Sports Complex,725 Rice Ave,Union,SC,29379,,2,,Non-Networked,J1772,public,Unknown,REC_SPORTS_FACILITY
Lockhart Power,420 River St,Lockhart,SC,29364,,6,,Non-Networked,J1772,public,Unknown,UTILITY
Toyota of Santa Monica,801 Santa Monica Blvd,Santa Monica,CA,90401,,3,,Non-Networked,J1772,public,CALL,CAR_DEALER
Beach & Hyde Garage,655 Beach St,San Francisco,CA,94109,,5,,Non-Networked,J1772,public,Unknown,PAY_GARAGE
City of Santa Monica - Civic Parking Garage,333 Civic Center Dr,Santa Monica,CA,90401,,12,2,Non-Networked,CHADEMO J1772,public,Unknown,MUNI_GOV
Denver International Airport - Canopy Airport Parking,8100 Tower Rd,Commerce City,CO,80022,18,9,1,Non-Networked,CHADEMO J1772 NEMA515,public,Unknown,PARKING_LOT
Town of Superior - Town Hall,124 E Coal Creek Dr,Superior,CO,80027,,2,,Non-Networked,J1772,public,Unknown,MUNI_GOV
Charles Hotel - Harvard Square,1 Bennett St,Cambridge,MA,2138,1,4,,Non-Networked,J1772 NEMA515,public,Unknown,HOTEL
Town of Dyer - Town Hall,1 Town Square,Dyer,IN,46311,,2,,Non-Networked,J1772,public,Unknown,PARKING_LOT
Peaches Bed & Breakfast,29 Gay Ave SE,Grand Rapids,MI,49503,,1,,Non-Networked,J1772,public,CALL,B_AND_B
City Hall Annex - Town of Normal,100 E Phoenix Ave,Normal,IL,61761,,2,,Non-Networked,J1772,public,Unknown,MUNI_GOV
College Avenue Parking Deck,101 W Mulberry St,Normal,IL,61761,,3,,Non-Networked,J1772,public,Unknown,PARKING_GARAGE
State of Illinois - Governor's Mansion,401-499 E Edwards St,Springfield,IL,62703,,1,,Non-Networked,J1772,private,Unknown,MUNI_GOV
Duke Energy,1000 E Main St,Plainfield,IN,46168,,9,,Non-Networked,J1772,private,Unknown,UTILITY
3M,3M Center Dr,St. Paul,MN,55117,42,2,,Non-Networked,J1772 NEMA520,private,Unknown,OFFICE_BLDG
UWB CASCADIA CC NORTH LEVEL 3 N,18500 Campus Way NE,Bothell,WA,98011,,2,,ChargePoint Network,J1772,public,Unknown,
CITY OF REDMOND CITY HALL DUAL,15670 NE 85th St,Redmond,WA,98052,,2,,ChargePoint Network,J1772,public,Unknown,
CITY OF REDMOND MOC #1 PUBLIC,18080 NE 76th St,Redmond,WA,98052,,2,,ChargePoint Network,J1772,public,Unknown,
WILLOWS LODGE WILLOWS #2,14580 NE 145th St,Woodinville,WA,98072,,2,,ChargePoint Network,J1772,public,Unknown,
MGE PINNACLE HEALTH,5973 Executive Dr,Fitchburg,WI,53719,,1,,ChargePoint Network,J1772,public,Unknown,
MGE WILLY ST W,6825 University Ave,Middleton,WI,53562,,1,,ChargePoint Network,J1772,public,Unknown,
City of Raleigh - Municipal Building,285 W Hargett St,Raleigh,NC,27601,,2,,Non-Networked,J1772,public,Unknown,STREET_PARKING
City of Raleigh - Downtown,215 W Cabarrus St,Raleigh,NC,27601,,1,,Non-Networked,J1772,public,Unknown,STREET_PARKING
Missouri University of Science and Technology - E3 Commons,903 Collegiate Blvd,Rolla,MO,65401,,2,,Non-Networked,J1772,private,Unknown,COLLEGE_CAMPUS
Clay Cooley Nissan,4914 S IH-35,Austin,TX,78745,,2,1,Non-Networked,CHADEMO J1772,public,CALL,CAR_DEALER
Eversource Energy Park,780 N Commercial St,Manchester,NH,3101,,1,,Non-Networked,J1772,private,Unknown,UTILITY
Super 8 - Ukiah,693 S Orchard Ave,Ukiah,CA,95482,,1,,Non-Networked,J1772,public,CALL,HOTEL
KEMET Corp,2835 Kemet Way,Simpsonville,SC,29681,,1,,Non-Networked,J1772,private,Unknown,OFFICE_BLDG
Hotel Floyd,120 Wilson St,Floyd,VA,24091,,1,,Non-Networked,J1772,public,Unknown,HOTEL
Virginia Commonwealth University (VCU) - West Broad Street Parking Deck,1111 W Broad St,Richmond,VA,23284,,4,,ChargePoint Network,J1772,public,Unknown,COLLEGE_CAMPUS
Virginia Commonwealth University (VCU) - N-Deck Parking Deck,615 N 10th St,Richmond,VA,23298,,5,,ChargePoint Network,J1772,private,Unknown,COLLEGE_CAMPUS
Oak Ridge Nissan,101 S Illinois Ave,Oak Ridge,TN,37830,,1,,Non-Networked,J1772,public,CALL,CAR_DEALER
Newton Nissan South,2801 Highway 231 N,Shelbyville,TN,37160,,1,,Non-Networked,J1772,public,CALL,CAR_DEALER
McGavock Nissan - Abilene,818 E Overland Trail,Abilene,TX,79606,,1,,Non-Networked,J1772,public,CALL,CAR_DEALER
