station_name,street_address,city,state,zip,ev_level1_evse_num,ev_level2_evse_num,ev_dc_fast_count,ev_network,ev_connector_types,access_code,access_detail_code,facility_type
Commodore Hotel Linden,114 E. Main Street,Linden,TN,37096,,2,,Blink Network,J1772,public,Unknown,
Papago Center,350 W Washington,Tempe,AZ,85281,,4,,Blink Network,J1772,public,Unknown,
The Waverly,1705 Ocean Ave,Santa Monica,CA,90401,,1,,Blink Network,J1772,public,Unknown,
University of San Diego - IPJ Kroc,5555 Marian Way,San Diego,CA,92110,,8,,Blink Network,J1772,public,Unknown,
First Alternative Cooperative North,2855 NW Grant St,Corvallis,OR,97330,,2,,Blink Network,J1772,public,Unknown,
University of San Diego - Acala Vista,1520 Via Las Cumbres,San Diego,CA,92110,,6,,Blink Network,J1772,public,Unknown,
First Hill Medical Building,515 Minor Ave,Seattle,WA,98104,,1,,Blink Network,J1772,public,Unknown,
Phoenix Convention Center - East Garage 4th Level,601 E. Washington Street,Phoenix,AZ,85004,,6,,Blink Network,J1772,public,Unknown,
Phoenix Childrens Museum,215 N 7th Street,Phoenix,AZ,85034,,2,,Blink Network,J1772,public,Unknown,
McLendon Hardware,440 Rainier Ave South,Renton,WA,98057,,2,,Blink Network,J1772,public,Unknown,
Hotel Rose Portland,50 SW Morrison Street,Portland,OR,97204,,2,,Blink Network,J1772,public,Unknown,
The Seychelle,1755 Ocean Ave,Santa Monica,CA,90401,,1,,Blink Network,J1772,public,Unknown,
Mesa Convention Center,263 N. Center Street,Mesa,AZ,85201,,2,,Blink Network,J1772,public,Unknown,
Pellissippi State (Magnolia Ave),1610 E Magnolia Ave,Knoxville,TN,37917,,2,,Blink Network,J1772,public,Unknown,
Santana Row - Winchester Parking Garage,330 S. Winchester Boulevard,San Jose,CA,95128,,8,,Blink Network,J1772,public,Unknown,
Sun Metro Westside,7535 Remcon Circle,El Paso,TX,79912,,2,,Blink Network,J1772,public,Unknown,
Old West Salem City Hall,1320 Edgewater St. NW,Salem,OR,97304,,2,,Blink Network,J1772,public,Unknown,
Twin Peaks Frisco,3475 Preston Rd,Frisco,TX,75034,,2,,Blink Network,J1772,public,Unknown,
Salk Institute,10010 North Torrey Pines Road,La Jolla,CA,92037,,4,,Blink Network,J1772,public,Unknown,
Baker-Herder Building - Table Talk,6842 East Tanque Verde Road,Tucson,AZ,85715,,2,,Blink Network,J1772,public,Unknown,
Sumner School District - Parking Lot,1099 Wood Ave,Sumner,WA,98390,,3,,Blink Network,J1772,public,Unknown,
Ramada Plaza West Hollywood,8585 Santa Monica Blvd.,West Hollywood,CA,90069,,8,,Blink Network,J1772,public,Unknown,
City of Hayward - 805 B St,805 B Street,Hayward,CA,94541,,10,1,Blink Network,CHADEMO J1772 J1772COMBO,public,Unknown,
Comfort Suites - Las Colinas Center,1223 Greenway Drive,Irving,TX,75038,,2,,Blink Network,J1772,public,Unknown,
OSU - Linus Pauling Science Center,2750 SW Campus Way,Corvallis,OR,97331,,2,,Blink Network,J1772,public,Unknown,
MAX at Kierland,16220 N. Scottsdale Road,Scottsdale,AZ,85254,,3,,Blink Network,J1772,public,Unknown,
Tigard - Public Works,8777 SW Burnham St.,Tigard,OR,97223,,1,,Blink Network,J1772,public,Unknown,
Providence - St. Vincent Medical Center,9205 SW Barnes Rd,Portland,OR,97225,,4,,Blink Network,J1772,public,Unknown,
Providence - Office Park,4400 NE Halsey St,Portland,OR,97213,,2,,Blink Network,J1772,public,Unknown,
Providence - Milwaukie Hospital,10150 SE 32nd Ave,Milwaukie,OR,97222,,2,,Blink Network,J1772,public,Unknown,
Providence - Willamette Falls Medical Center,1500 Division St.,Oregon City,OR,97045,,4,,Blink Network,J1772,public,Unknown,
Providence Medical Group - Tanasbourne,18530 NW Cornell Road,Hillsboro,OR,97124,,2,,Blink Network,J1772,public,Unknown,
Providence - Bridgeport Health Center,18040 SW Lower Boones Ferry Road,Tigard,OR,97224,,2,,Blink Network,J1772,public,Unknown,
Providence - Portland Medical Center - Glisan Parking Garage West,4805 NE Glisan St,Portland,OR,97213,,4,,Blink Network,J1772,public,Unknown,
Lake Washington Institute of Technology,11605 132nd Ave NE,Kirkland,WA,98034,,2,,Blink Network,J1772,public,Unknown,
Whiskey Cake Kitchen & Bar - Plano,3601 Dallas Parkway,Plano,TX,75093,,2,,Blink Network,J1772,public,Unknown,
City of Solana Beach,635 South HGWY 101,Solana Beach,CA,92075,,3,,Blink Network,J1772,public,Unknown,
Mesa Main Library,64 E. 1st Street,Mesa,AZ,85201,,3,,Blink Network,J1772,public,Unknown,
Mesa Arts Center,1 E Main Street,Mesa,AZ,85201,,3,,Blink Network,J1772,public,Unknown,
Pellissippi State,10915 Hardin Valley Road,Knoxville,TN,37932,,2,,Blink Network,J1772,public,Unknown,
Providence Holy Cross Medical Center - Cancer Research Center,15031 Rinaldi Street,Mission Hills,CA,91345,,9,,Blink Network,J1772,public,Unknown,
Providence Holy Cross Medical Center - General Parking,15031 Rinaldi Street,Mission Hills,CA,91345,,7,,Blink Network,J1772,public,Unknown,
Burton Barr Library,1221 N Central Ave,Phoenix,AZ,85004,,4,,Blink Network,J1772,public,Unknown,
Owens St Parking Garage,1670 Owens Street,San Francisco,CA,94158,,4,,Blink Network,J1772,public,Unknown,
Irving City Hall,825 W Irving Blvd,Irving,TX,75061,,3,,Blink Network,J1772,public,Unknown,
Twin Peaks Mesquite,18995 LBJ Freeway,Mesquite,TX,75150,,2,,Blink Network,J1772,public,Unknown,
Phoenix Convention Center - Heritage Garage,123 N. 5th Street,Phoenix,AZ,85004,,2,,Blink Network,J1772,public,Unknown,
Cholla Library,10050 Metro Parkway East,Phoenix,AZ,85051,,1,,Blink Network,J1772,public,Unknown,
JBG - Fort Totten Square,300 Riggs Rd NE,Washington,DC,20011,,2,,Blink Network,J1772,public,Unknown,
Pringle Schoolhouse,4985 Battle Creek Rd. SE,Salem,OR,97302,,2,,Blink Network,J1772,public,Unknown,
Pellissippi State (Blount County Campus),2731 W. Lamar Alexander Hwy,Friendsville,TN,37737,,2,,Blink Network,J1772,public,Unknown,
Bookmans - 19th Avenue,8034 North 19th Avenue,Phoenix,AZ,85021,,3,,Blink Network,J1772,public,Unknown,
The Famous Pearson Fuel Depot,4067 El Cajon Blvd.,San Diego,CA,92105,,5,,Blink Network,J1772,public,Unknown,
City College - Parking Structure - 1st & 2nd Floor,1060 16th St,San Diego,CA,92101,,5,,Blink Network,J1772,public,Unknown,
Miramar College - Parking Structure - 1st Floor,10440 Black Mountain Road,San Diego,CA,92126,,6,,Blink Network,J1772,public,Unknown,
McDonalds - McKee - San Jose CA,2353 McKee Rd,San Jose,CA,95133,,2,,Blink Network,J1772,public,Unknown,
Peoria Sunrise Mountain Library,21109 N. 98th Ave,Peoria,AZ,85382,,2,,Blink Network,J1772,public,Unknown,
San Juan Bautista,50 Muckelemi St,San Juan Bautista,CA,95045,,1,,Blink Network,J1772,public,Unknown,
Fairfield Inn & Suites Kodak,3620 Outdoor Sportsman Place,Kodak,TN,37764,,1,,Blink Network,J1772,public,Unknown,
Solterra South,131 Chambers Street,El Cajon,CA,92020,,2,,Blink Network,J1772,public,Unknown,
Vernier Software & Technology,13979 Southwest Millikan Way,Beaverton,OR,97005,,2,,Blink Network,J1772,public,Unknown,
Britannia Oyster Point II Business Plaza,329 Oyster Point Boulevard,South San Francisco,CA,94080,,4,,Blink Network,J1772,public,Unknown,
Mesa College,7250 Mesa College Drive,San Diego,CA,92111,,4,,Blink Network,J1772,public,Unknown,
The RDI Group,1025 W Thorndale Ave,Itasca,IL,60143,,2,,Blink Network,J1772,public,Unknown,
City of Falls City,299 Mill St.,Falls City,OR,97344,,2,,Blink Network,J1772,public,Unknown,
Cross Park Realty Partners LLC,9111 Cross Park Dr,Knoxville,TN,37923,,6,,Blink Network,J1772,public,Unknown,
520 Pike Tower,520 Pike St.,Seattle,WA,98101,,4,,Blink Network,J1772,public,Unknown,
Hilton Garden Inn Chattanooga,2343 Shallowford Village Dr.,Chattanooga,TN,37421,,2,,Blink Network,J1772,public,Unknown,
Maury Regional Medical Center,1224 Trotwood Ave,Columbia,TN,38401,,1,,Blink Network,J1772,public,Unknown,
Three Rivers Market,1100 N Central Street,Knoxville,TN,37917,,2,,Blink Network,J1772,public,Unknown,
Bellevue College - Lot C7 Snoqualmie River Road,3036 Snoqualmie River Road,Bellevue,WA,98005,,2,,Blink Network,J1772,public,Unknown,
8500 Burton Way - Basement Lot,8500 Burton Way,Los Angeles,CA,90048,,3,,Blink Network,J1772,public,Unknown,
Equity Office,10 Almaden Blvd.,San Jose,CA,95113,,2,,Blink Network,J1772,public,Unknown,
Tennessee Lofts HOA,11500 Tennessee Ave.,Los Angeles,CA,90064,,8,,Blink Network,J1772,public,Unknown,
Lake Union Building,1700 Westlake Ave N,Seattle,WA,98109,,2,,Blink Network,J1772,public,Unknown,
